run_dir,run_name,model,window,sfreq,shuffle_labels,global_threshold,cv_balanced_accuracy_at_global_threshold,model_name,train_val_path,X_train_val_shape,y_train_val_shape,subjects_train_val_shape,n_all_unique_subjects,n_unique_subjects,n_selected_subjects_config,selected_subjects_config,random_seed,checkpoint_dir,cnn_kernel_len,eegnet_kernel_len,mean_fold_auc,std_fold_auc,mean_fold_bal_acc,std_fold_bal_acc,mean_best_epoch,oof_auc,oof_accuracy,oof_balanced_accuracy,oof_f1,n_oof_samples,threshold_used,n_subjects_requested,ablation_seed,n_selected_subjects,selected_subjects,n_folds,category,model_display,model_order,selected_subjects_key
/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/baseline/cnn_0800_250hz,cnn_0800_250hz,cnn,0800,250,False,0.493,0.5387078369205616,cnn,/workspace/data/inputs,"(28265, 32, 201)","(28265,)","(28265,)",,18,,,42,/workspace/data/checkpoints/cnn_0800_250hz,31.0,,0.5588212958922987,0.005162743301142002,0.5369833821033607,0.008613670064427925,14.4,0.5535412781671566,0.5385459048292942,0.5387078369205616,0.5403671987877506,28265,0.493,,,,,,baseline,CNN-v1,0,
/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/baseline/eegnet_0800_250hz,eegnet_0800_250hz,eegnet,0800,250,False,0.488,0.5858118554193255,eegnet,/workspace/data/inputs,"(28265, 32, 201)","(28265,)","(28265,)",,18,,,42,/workspace/data/checkpoints/eegnet_0800_250hz,,125.0,0.619656986836927,0.01838114140210689,0.5837164041056618,0.013018353611352536,16.0,0.6165762967591959,0.5853529099593137,0.5858118554193255,0.5952479624257494,28265,0.488,,,,,,baseline,EEGNet,2,
/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/baseline/cnn_0800_250hz_shuffle,cnn_0800_250hz_shuffle,cnn,0800,250,True,0.497,0.5258075098435734,cnn,/workspace/data/inputs,"(28265, 32, 201)","(28265,)","(28265,)",,18,,,42,/workspace/data/checkpoints/cnn_0800_250hz_shuffle,31.0,,0.5357294773700175,0.009475255637383382,0.5204369948254892,0.011557034609207319,7.4,0.5315441095218898,0.5253847514594021,0.5258075098435734,0.5359255543639949,28265,0.497,,,,,,baseline,CNN-v1,0,
/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/baseline/cnn_300500_250hz,cnn_300500_250hz,cnn,300500,250,False,0.489,0.5707867628442296,cnn,/workspace/data/inputs,"(28265, 32, 51)","(28265,)","(28265,)",,18,,,42,/workspace/data/checkpoints/cnn_300500_250hz,31.0,,0.5994024984044026,0.010378860634596308,0.5684904167174267,0.008569002870633863,9.2,0.5971245995894179,0.569856713249602,0.5707867628442296,0.593513874958208,28265,0.489,,,,,,baseline,CNN-v1,0,
/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/baseline/cnn_0200_250hz,cnn_0200_250hz,cnn,0200,250,False,0.493,0.5262038252905077,cnn,/workspace/data/inputs,"(28265, 32, 51)","(28265,)","(28265,)",,18,,,42,/workspace/data/checkpoints/cnn_0200_250hz,31.0,,0.5368255340681086,0.006450634587790289,0.5229948339551159,0.005148673539594369,13.2,0.5328389985517117,0.5256324075712011,0.5262038252905077,0.5409162500855988,28265,0.493,,,,,,baseline,CNN-v1,0,
/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/baseline/cnn_500800_250hz,cnn_500800_250hz,cnn,500800,250,False,0.504,0.5478611615589375,cnn,/workspace/data/inputs,"(28265, 32, 76)","(28265,)","(28265,)",,18,,,42,/workspace/data/checkpoints/cnn_500800_250hz,31.0,,0.5707077156226024,0.009585186415316515,0.5478535152207498,0.010520493576122177,23.8,0.5649410079678537,0.5483106315230851,0.5478611615589375,0.5296393176878016,28265,0.504,,,,,,baseline,CNN-v1,0,
/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/baseline/cnn_0200_1000hz,cnn_0200_1000hz,cnn,0200,1000,False,0.496,0.526815308733837,cnn,/workspace/data/DERCo/inputs,"(28265, 32, 201)","(28265,)","(28265,)",18.0,18,18.0,"['DGR11', 'HMK96', 'JPY86', 'LRK01', 'LYY64', 'MNY88', 'MRB47', 'NXB64', 'OLW10', 'QFT39', 'QPI83', 'RRO98', 'SAB93', 'SIT48', 'TRA37', 'UJM92', 'WHR08', 'WJX11']",42,/workspace/data/DERCo/checkpoints/baseline,125.0,,0.5367519740408424,0.007015109676666425,0.5240762059138359,0.007503756028567378,22.8,0.5343761753639127,0.5267645497965682,0.526815308733837,0.524966261808367,28265,0.496,,,18.0,"['DGR11', 'HMK96', 'JPY86', 'LRK01', 'LYY64', 'MNY88', 'MRB47', 'NXB64', 'OLW10', 'QFT39', 'QPI83', 'RRO98', 'SAB93', 'SIT48', 'TRA37', 'UJM92', 'WHR08', 'WJX11']",5.0,baseline,CNN-v1,0,DGR11|HMK96|JPY86|LRK01|LYY64|MNY88|MRB47|NXB64|OLW10|QFT39|QPI83|RRO98|SAB93|SIT48|TRA37|UJM92|WHR08|WJX11
/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/baseline/cnn_0800_1000hz,cnn_0800_1000hz,cnn,0800,1000,False,0.485,0.5415888791280027,cnn,/workspace/data/DERCo/inputs,"(28265, 32, 801)","(28265,)","(28265,)",18.0,18,18.0,"['DGR11', 'HMK96', 'JPY86', 'LRK01', 'LYY64', 'MNY88', 'MRB47', 'NXB64', 'OLW10', 'QFT39', 'QPI83', 'RRO98', 'SAB93', 'SIT48', 'TRA37', 'UJM92', 'WHR08', 'WJX11']",42,/workspace/data/DERCo/checkpoints/baseline,125.0,,0.5592727792616355,0.00687080090607123,0.5392743387177126,0.005230194329584658,23.0,0.5569187719567982,0.5408101892800283,0.5415888791280027,0.5617719552959449,28265,0.485,,,18.0,"['DGR11', 'HMK96', 'JPY86', 'LRK01', 'LYY64', 'MNY88', 'MRB47', 'NXB64', 'OLW10', 'QFT39', 'QPI83', 'RRO98', 'SAB93', 'SIT48', 'TRA37', 'UJM92', 'WHR08', 'WJX11']",5.0,baseline,CNN-v1,0,DGR11|HMK96|JPY86|LRK01|LYY64|MNY88|MRB47|NXB64|OLW10|QFT39|QPI83|RRO98|SAB93|SIT48|TRA37|UJM92|WHR08|WJX11
/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/baseline/cnn_300500_1000hz,cnn_300500_1000hz,cnn,300500,1000,False,0.486,0.5697525953392308,cnn,/workspace/data/DERCo/inputs,"(28265, 32, 201)","(28265,)","(28265,)",18.0,18,18.0,"['DGR11', 'HMK96', 'JPY86', 'LRK01', 'LYY64', 'MNY88', 'MRB47', 'NXB64', 'OLW10', 'QFT39', 'QPI83', 'RRO98', 'SAB93', 'SIT48', 'TRA37', 'UJM92', 'WHR08', 'WJX11']",42,/workspace/data/DERCo/checkpoints/baseline,125.0,,0.5973581216227707,0.011643930271317547,0.5669783794564577,0.013345782877703178,20.0,0.5940290779592263,0.5690076065805767,0.5697525953392308,0.5875820976369422,28265,0.486,,,18.0,"['DGR11', 'HMK96', 'JPY86', 'LRK01', 'LYY64', 'MNY88', 'MRB47', 'NXB64', 'OLW10', 'QFT39', 'QPI83', 'RRO98', 'SAB93', 'SIT48', 'TRA37', 'UJM92', 'WHR08', 'WJX11']",5.0,baseline,CNN-v1,0,DGR11|HMK96|JPY86|LRK01|LYY64|MNY88|MRB47|NXB64|OLW10|QFT39|QPI83|RRO98|SAB93|SIT48|TRA37|UJM92|WHR08|WJX11
/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/baseline/cnn_500800_1000hz,cnn_500800_1000hz,cnn,500800,1000,False,0.495,0.5504719999564922,cnn,/workspace/data/DERCo/inputs,"(28265, 32, 301)","(28265,)","(28265,)",18.0,18,18.0,"['DGR11', 'HMK96', 'JPY86', 'LRK01', 'LYY64', 'MNY88', 'MRB47', 'NXB64', 'OLW10', 'QFT39', 'QPI83', 'RRO98', 'SAB93', 'SIT48', 'TRA37', 'UJM92', 'WHR08', 'WJX11']",42,/workspace/data/DERCo/checkpoints/baseline,125.0,,0.5700384304011503,0.01201022261473459,0.549638425534699,0.010132093426050773,28.4,0.565940679185206,0.5509994693083319,0.5504719999564922,0.5297016861219196,28265,0.495,,,18.0,"['DGR11', 'HMK96', 'JPY86', 'LRK01', 'LYY64', 'MNY88', 'MRB47', 'NXB64', 'OLW10', 'QFT39', 'QPI83', 'RRO98', 'SAB93', 'SIT48', 'TRA37', 'UJM92', 'WHR08', 'WJX11']",5.0,baseline,CNN-v1,0,DGR11|HMK96|JPY86|LRK01|LYY64|MNY88|MRB47|NXB64|OLW10|QFT39|QPI83|RRO98|SAB93|SIT48|TRA37|UJM92|WHR08|WJX11
