run_name,model,model_display,window,sfreq,shuffle_labels,oof_auc,oof_accuracy,oof_balanced_accuracy,oof_f1,cv_balanced_accuracy_at_global_threshold,global_threshold,threshold_used,n_oof_samples,X_train_val_shape,checkpoint_dir,run_dir
cnn_0200_250hz,cnn,CNN-v1,0200,250,False,0.5328389985517117,0.5256324075712011,0.5262038252905077,0.5409162500855988,0.5262038252905077,0.493,0.493,28265,"(28265, 32, 51)",/workspace/data/checkpoints/cnn_0200_250hz,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/baseline/cnn_0200_250hz
cnn_0800_250hz,cnn,CNN-v1,0800,250,False,0.5535412781671566,0.5385459048292942,0.5387078369205616,0.5403671987877506,0.5387078369205616,0.493,0.493,28265,"(28265, 32, 201)",/workspace/data/checkpoints/cnn_0800_250hz,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/baseline/cnn_0800_250hz
cnn_0800_250hz_shuffle,cnn,CNN-v1,0800,250,True,0.5315441095218898,0.5253847514594021,0.5258075098435734,0.5359255543639949,0.5258075098435734,0.497,0.497,28265,"(28265, 32, 201)",/workspace/data/checkpoints/cnn_0800_250hz_shuffle,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/baseline/cnn_0800_250hz_shuffle
cnn_300500_250hz,cnn,CNN-v1,300500,250,False,0.5971245995894179,0.569856713249602,0.5707867628442296,0.593513874958208,0.5707867628442296,0.489,0.489,28265,"(28265, 32, 51)",/workspace/data/checkpoints/cnn_300500_250hz,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/baseline/cnn_300500_250hz
cnn_500800_250hz,cnn,CNN-v1,500800,250,False,0.5649410079678537,0.5483106315230851,0.5478611615589375,0.5296393176878016,0.5478611615589375,0.504,0.504,28265,"(28265, 32, 76)",/workspace/data/checkpoints/cnn_500800_250hz,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/baseline/cnn_500800_250hz
cnn_v2_0200_250hz,cnn_v2,CNN-v2,0200,250,False,0.5422184432632894,0.5329559525915443,0.5333314964692397,0.5417751397132841,0.5333314964692397,0.49,0.49,28265,"(28265, 32, 51)",/workspace/data/DERCo/checkpoints/baseline/cnn_v2_0200_250hz,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/baseline/cnn_v2_0200_250hz
cnn_v2_0800_250hz,cnn_v2,CNN-v2,0800,250,False,0.6174335383960733,0.5867327082964797,0.5869896368514679,0.5908438123927283,0.5869896368514679,0.47900000000000004,0.47900000000000004,28265,"(28265, 32, 201)",/workspace/data/DERCo/checkpoints/baseline/cnn_v2_0800_250hz,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/baseline/cnn_v2_0800_250hz
cnn_v2_0800_250hz_shuffle,cnn_v2,CNN-v2,0800,250,True,0.5225888161598209,0.5178489297718026,0.5186245800038795,0.5399054692775151,0.5186245800038795,0.487,0.487,28265,"(28265, 32, 201)",/workspace/data/DERCo/checkpoints/baseline/cnn_v2_0800_250hz_shuffle,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/baseline/cnn_v2_0800_250hz_shuffle
cnn_v2_300500_250hz,cnn_v2,CNN-v2,300500,250,False,0.59521661710589,0.5698213338050593,0.5703035569150486,0.5808542176565893,0.5703035569150486,0.49,0.49,28265,"(28265, 32, 51)",/workspace/data/DERCo/checkpoints/baseline/cnn_v2_300500_250hz,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/baseline/cnn_v2_300500_250hz
cnn_v2_500800_250hz,cnn_v2,CNN-v2,500800,250,False,0.5740184467827771,0.5559525915443128,0.5562561312475252,0.5619961612284069,0.5562561312475252,0.484,0.484,28265,"(28265, 32, 76)",/workspace/data/DERCo/checkpoints/baseline/cnn_v2_500800_250hz,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/baseline/cnn_v2_500800_250hz
