model,model_display,subject_count,mean_auc,std_auc,sem_auc,mean_bal_acc,std_bal_acc,sem_bal_acc,n_runs,n_unique_subject_sets,mean_n_oof_samples
cnn,CNN-v1,2.0,0.5359311381749641,0.015815599541072763,0.007072951135750635,0.5351694315091077,0.009361548915331884,0.004186611949874303,5,5,3135.0
cnn,CNN-v1,4.0,0.5525634600509968,0.012520009307670419,0.005599118378176227,0.5435278988168167,0.008616233610835348,0.003853296812769261,5,5,6472.6
cnn,CNN-v1,6.0,0.5523533829962123,0.00873541029677171,0.003906594246986631,0.5414144547577868,0.007645830939776568,0.0034193195451623012,5,5,9463.0
cnn,CNN-v1,8.0,0.5531831808934029,0.01442681347806828,0.006451867127134169,0.5409696190603173,0.010392083780217514,0.0046474811520878685,5,5,12489.0
cnn,CNN-v1,10.0,0.5490858099610737,0.005814706854601949,0.0026004159592247886,0.5377875939243296,0.0038180526883531784,0.0017074850705667052,5,5,15898.8
cnn,CNN-v1,14.0,0.5548867437773434,0.0061213815775506926,0.0027375650647236496,0.53962566529491,0.005357227314738317,0.0023958248893347074,5,5,21825.6
cnn,CNN-v1,18.0,0.5535412781671566,,,0.5387078369205616,,,5,1,28265.0
cnn_v2,CNN-v2,2.0,0.5556068809197093,0.031197166190655424,0.013951796861532738,0.54706068841865,0.023405350187633643,0.010467190811347256,5,5,3135.0
cnn_v2,CNN-v2,4.0,0.580218995864971,0.012445012405921258,0.005565578744093628,0.5621076285904674,0.011802754282846639,0.0052783521796343725,5,5,6472.6
cnn_v2,CNN-v2,6.0,0.5921181426025767,0.012680371632008651,0.005670834589826259,0.5701581010349839,0.00998670321400242,0.004466189451525008,5,5,9463.0
cnn_v2,CNN-v2,8.0,0.5964222229814004,0.01337690925354374,0.0059823356839539535,0.5715978332890246,0.008533956752827322,0.003816501483273052,5,5,12489.0
cnn_v2,CNN-v2,10.0,0.6073119184187298,0.0077779838765002504,0.0034784201351503777,0.5816405364155821,0.004174172602067443,0.0018667467376079962,5,5,15898.8
cnn_v2,CNN-v2,14.0,0.612730366718151,0.0037528749675515612,0.0016783367077005216,0.5838518787334817,0.003652572655730803,0.0016334801501942024,5,5,21825.6
cnn_v2,CNN-v2,18.0,0.6174335383960733,,,0.5869896368514679,,,1,1,28265.0
eegnet,EEGNet,2.0,0.5686579775489041,0.024622068697043878,0.011011323870651957,0.557435992655152,0.015088024478006074,0.006747569675800472,5,5,3135.0
eegnet,EEGNet,4.0,0.5950812329989328,0.00995397129246309,0.0044515512912057815,0.5734913409547474,0.006819871894248977,0.0030499394306761937,5,5,6472.6
eegnet,EEGNet,6.0,0.5987610602628526,0.011689286576711297,0.005227607878800454,0.5747962420842441,0.010051213845130559,0.004495039482819795,5,5,9463.0
eegnet,EEGNet,8.0,0.6035909772051161,0.01237638936088256,0.005534889585387716,0.5782484062879991,0.009717689151210534,0.004345882705263797,5,5,12489.0
eegnet,EEGNet,10.0,0.6090273449822132,0.005685927726380203,0.0025428241822673912,0.5799855504475364,0.006126177489027707,0.002739709861538985,5,5,15898.8
eegnet,EEGNet,14.0,0.6144268109347794,0.005659340155966466,0.002530933859307056,0.5832972129126166,0.005503051480684186,0.002461039438898142,5,5,21825.6
eegnet,EEGNet,18.0,0.6165762967591959,,,0.5858118554193255,,,5,1,28265.0
